Week_No,Heading,LectureName,Lecture link
Week 3,Note Making,Lecture 6,https://hello.iitk.ac.in/com20021/#/lecture/67
Week 3,Note Making,Lecture 5,https://hello.iitk.ac.in/com20021/#/lecture/66
Week 2,Reading 2,Lecture 4,https://hello.iitk.ac.in/com20021/#/lecture/13
Week 2,Reading 1,Lecture 3,https://hello.iitk.ac.in/com20021/#/lecture/12
Week 1,Preparing an outline,Lecture 2,https://hello.iitk.ac.in/com20021/#/lecture/6
Week 1,Introduction,Lecture 1,https://hello.iitk.ac.in/com20021/#/lecture/5
